,bill_number,title,short_title​,sponsor_party​,introduced_date​,enacted​,vetoed​,cosponsors_count​,cosponsors_R,cosponsors_D,cosponsors_I,primary_subject​,summary_short​,actions_count​,votes_count
961,HR3096,To promote freedom and democracy in Vietnam.,Vietnam Human Rights Act of 2007,R,2007-07-19,,,12,7,5,0,International affairs,Vietnam Human Rights Act of 2007 - Title I: Prohibition on Nonhumanitarian Assistance to the Government of Vietnam - (Sec. 101) Prohibits U.S. nonhumanitarian assistance to the government of Vietnam for FY2008 in excess of FY2007 levels unless the President certifies to Congress that the government of Vietnam has made substantial progress respecting: (1) the release of political and religious prisoners; (2) the right of religious freedom including the return of church properties; (3) the rig...,11,1
962,HRES660,Providing for consideration of the bill (H.R. 2761) to extend the Terrorism Insurance Program of the Department of the Treasury and for other purposes.,,D,2007-09-18,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 2761 (Terrorism Risk Insurance Revision and Extension Act of 2007).,10,2
963,HR2761,To extend the Terrorism Insurance Program of the Department of the Treasury and for other purposes.,Terrorism Risk Insurance Program Reauthorization Act of 2007,D,2007-06-18,,,31,3,28,0,Finance and financial sector,Terrorism Risk Insurance Program Reauthorization Act of 2007 - (Sec. 2) Amends the Terrorism Risk Insurance Act to redefine an act of terrorism to eliminate the requirement that the individual or individuals committing a terrorist act be acting on behalf of any foreign person or foreign interest. (Sec. 3) Extends the Terrorism Risk Insurance Program through calendar 2014. (Sec. 4) States that no insurer may be required to make payment for insured losses in excess of its statutory deductible c...,43,5
964,HR3580,To amend the Federal Food Drug and Cosmetic Act to revise and extend the user-fee programs for prescription drugs and for medical devices to enhance the postmarket authorities of the Food and Drug Administration with respect to the safety of drugs and for other purposes.,Food and Drug Administration Amendments Act of 2007,D,2007-09-19,,,2,1,1,0,Health,Food and Drug Administration Amendments Act of 2007 - Title I: Prescription Drug User Fee Amendments of 2007 - (Sec. 101) Prescription Drug User Fee Amendments of 2007 - (Sec. 102) Amends the Federal Food Drug and Cosmetic Act (FFDCA) to include postmarket safety activities within the process for the review of human drug applications or supplements including: (1) developing and using improved adverse event data collection systems and improved analytical tools to assess potential safety pro...,13,1
965,HRES664,Providing for consideration of the bill (H.R. 2881) to amend title 49 United States Code to authorize appropriations for the Federal Aviation Administration for fiscal years 2008 through 2011 to improve aviation safety and capacity to provide stable funding for the national aviation system and for other purposes.,,D,2007-09-19,,,0,0,0,0,Congress,Sets forth the rule for consideration of H.R. 2881 (FAA Reauthorization Act of 2007).,9,2
966,HR2881,To amend title 49 United States Code to authorize appropriations for the Federal Aviation Administration for fiscal years 2008 through 2011 to improve aviation safety and capacity to provide stable funding for the national aviation system and for other purposes.,FAA Reauthorization Act of 2007,D,2007-06-27,,,38,3,35,0,Transportation and public works,FAA Reauthorization Act of 2007 - Title I: Authorizations - Subtitle A: Funding of FAA Programs - (Sec. 101) Reauthorizes appropriations for FY2008-FY2011 for: (1) airport planning and development and noise compatibility planning programs; (2) air navigation facilities and equipment; (3) Federal Aviation Administration (FAA) operations; and (4) FAA research engineering and development. Authorizes additional authorizations of appropriations from the general fund of the Treasury for aviation ...,45,4
967,HCONRES193,Recognizing all hunters across the United States for their continued commitment to safety.,,D,2007-07-26,,,91,26,65,0,Commemorations,Recognizes all hunters for their continued commitment to safety.,16,1
968,HRES668,Recognizing the 50th anniversary of the September 25 1957 desegregation of Little Rock Central High School by the Little Rock Nine.,,D,2007-09-20,,,36,3,33,0,Commemorations,Acknowledges and commemorates the 50th anniversary of the desegregation of Little Rock Central High School by the Little Rock Nine. Encourages all Americans upon this 50th anniversary to recognize the historic contributions of the Little Rock Nine who not only secured integration for Little Rock Central High School but hundreds of thousands of schools across the country. Commits the House of Representatives in the wake of recent challenges to continuing the legacy of Brown v. Board of E...,9,1
969,HR1199,To extend the grant program for drug-endangered children.,Drug Endangered Children Act of 2007,D,2007-02-27,,,16,5,11,0,Crime and law enforcement,Drug Endangered Children Act of 2007- Amends the USA PATRIOT Improvement and Reauthorization Act of 2005 to extend the grant program for drug-endangered children through FY2009. Authorizes appropriations for FY2008-FY2009.,27,1
970,HRES340,Expressing the sense of the House of Representatives of the importance of providing a voice for the many victims (and families of victims) involved in missing persons cases and unidentified human remains cases.,,R,2007-04-26,,,4,3,1,0,Crime and law enforcement,Expresses the commitment of the House of Representatives to giving victims involved in missing persons and unidentified human remains cases a voice. Calls for: (1) continuing federal funding for DNA testing and the Combined DNA Index System; (2) greater cooperation between law enforcement agencies; (3) more comprehensive training and education for law enforcement agencies involved in missing person and unidentified human remains cases; (4) providing medical examiners and coroners with greater...,8,1
971,HR1400,To enhance United States diplomatic efforts with respect to Iran by imposing additional economic sanctions against Iran and for other purposes.,Iran Counter-Proliferation Act of 2007,D,2007-03-08,,,325,162,164,0,International affairs,Iran Counter-Proliferation Act of 2007 - Title I: Support for Diplomatic Efforts Relating to Preventing Iran from Acquiring Nuclear Weapons - (Sec. 101) Expresses the sense of Congress that: (1) the United States should use diplomatic and economic means to resolve the Iranian nuclear problem; (2) the United States should continue to support efforts in the International Atomic Energy Agency (IAEA) and the U.N. Security Council to end Iran's uranium enrichment and nuclear weapons programs; (3) ...,33,1
